group	original_prompt	proposed_command	review_status	review_note
dance	A person does the YMCA dance.	Do the YMCA dance.	PENDING	
dance	A person does a salsa step.	Do a salsa step.	PENDING	
dance	A person waltzes with an imaginary partner.	Waltz with an imaginary partner.	PENDING	
dance	A person does the sprinkler dance.	Do the sprinkler dance.	PENDING	
dance	A person does the shopping cart dance.	Do the shopping cart dance.	PENDING	
dance	A person headbangs to heavy metal.	Headbang to heavy metal.	PENDING	Audio context is not rendered.
dance	A person sways to slow music.	Sway slowly to music.	PENDING	Audio context is not rendered.
dance	A person does the worm.	Do the worm.	PENDING	
dance	A person does a body wave.	Do a body wave.	PENDING	
dance	A person does the dougie.	Do the Dougie.	PENDING	
dance	A person does the charleston.	Do the Charleston.	PENDING	
dance	A person does a tap dance.	Do a tap dance.	PENDING	
dance	A person does the cabbage patch dance.	Do the cabbage patch dance.	PENDING	
dance	A person does the raise the roof dance.	Do the raise-the-roof dance.	PENDING	
dance	A person dances the cha cha.	Dance the cha-cha.	PENDING	
dance	A person does the mashed potato dance.	Do the mashed potato dance.	PENDING	
dance	A person does the swim dance.	Do the swim dance.	PENDING	
dance	A person does a breakdance freeze.	Hold a breakdance freeze.	PENDING	Changed do to hold; confirm temporal intent.
dance	A person does the funky chicken.	Do the funky chicken.	PENDING	
dance	A person dances with arms in the air.	Dance with your arms in the air.	PENDING	
dance	A person does the two step.	Do the two-step.	PENDING	
dance	A person does the electric slide.	Do the electric slide.	PENDING	
sport	A person jumps up and down.	Jump up and down.	PENDING	
sport	A person jumps up and down with arms raised.	Jump up and down with your arms raised.	PENDING	
sport	A person does jumping jacks.	Do jumping jacks.	PENDING	
sport	A person does squats.	Do squats.	PENDING	
sport	A person does lunges.	Do lunges.	PENDING	Direction and leg unspecified.
sport	A person does a high kick.	Do a high kick.	PENDING	Leg unspecified.
sport	A person kicks a ball.	Kick a ball.	PENDING	Invisible prop.
sport	A person throws a ball overhand.	Throw a ball overhand.	PENDING	Invisible prop; arm unspecified.
sport	A person throws a ball underhand.	Throw a ball underhand.	PENDING	Invisible prop; arm unspecified.
sport	A person swings a baseball bat.	Swing a baseball bat.	PENDING	Invisible prop.
sport	A person swings a golf club.	Swing a golf club.	PENDING	Invisible prop.
sport	A person swings a tennis racket.	Swing a tennis racket.	PENDING	Invisible prop.
sport	A person shoots a basketball.	Shoot a basketball.	PENDING	Invisible prop and target.
sport	A person dribbles a basketball.	Dribble a basketball.	PENDING	Invisible prop.
sport	A person punches the air like a boxer.	Punch the air like a boxer.	PENDING	
sport	A person shadow boxes.	Shadowbox.	PENDING	
sport	A person does a karate chop.	Do a karate chop.	PENDING	Arm unspecified.
sport	A person does a roundhouse kick.	Do a roundhouse kick.	PENDING	Leg unspecified.
sport	A person jumps rope.	Jump rope.	PENDING	Invisible prop.
sport	A person does a standing long jump.	Do a standing long jump.	PENDING	
sport	A person balances on one leg.	Balance on one leg.	PENDING	Leg unspecified.
sport	A person does a yoga tree pose.	Hold a yoga tree pose.	PENDING	
sport	A person does a yoga warrior pose.	Hold a yoga warrior pose.	PENDING	Warrior variant unspecified.
sport	A person touches their toes.	Touch your toes.	PENDING	
sport	A person does arm circles.	Do arm circles.	PENDING	Direction unspecified.
sport	A person does side bends.	Do side bends.	PENDING	
sport	A person does a burpee.	Do a burpee.	PENDING	
sport	A person does a push up.	Do a push-up.	PENDING	
sport	A person does a sit up.	Do a sit-up.	PENDING	
sport	A person swims freestyle in place.	Swim freestyle in place.	PENDING	No water or forward displacement.
sport	A person rows a boat.	Row a boat.	PENDING	Invisible prop.
sport	A person lifts a heavy box.	Lift a heavy box.	PENDING	Invisible prop.
sport	A person lifts weights overhead.	Lift weights overhead.	PENDING	Invisible props.
transitions	A person sits down on a chair.	Sit down on a chair.	PENDING	Invisible prop.
transitions	A person stands up from a chair.	Stand up from a chair.	PENDING	Invisible prop.
transitions	A person kneels down.	Kneel down.	PENDING	
transitions	A person stands up from kneeling.	Stand up from a kneeling position.	PENDING	
transitions	A person lies down on the floor.	Lie down on the floor.	PENDING	
transitions	A person gets up from the floor.	Get up from the floor.	PENDING	
transitions	A person picks something up from the floor.	Pick something up from the floor.	PENDING	Invisible prop.
transitions	A person turns around 180 degrees.	Turn around 180 degrees.	PENDING	
transitions	A person spins around in place.	Spin around in place.	PENDING	
transitions	A person stumbles and regains balance.	Stumble, then regain your balance.	PENDING	
transitions	A person trips and falls forward.	Trip and fall forward.	PENDING	
transitions	A person ducks under something.	Duck under an obstacle.	PENDING	Invisible obstacle.
transitions	A person steps over an obstacle.	Step over an obstacle.	PENDING	Invisible obstacle.
transitions	A person climbs over a low wall.	Climb over a low wall.	PENDING	Invisible obstacle.
transitions	A person sits down cross-legged.	Sit down cross-legged.	PENDING	
